Place,race_number,team,car_no,lap_end_state,lap_progress,lap_time,Delta
1,3,Speed Racer,77,lap_complete,100.0,10.601391315460205,
2,3,RB,99,lap_complete,100.0,11.34822416305542,0.7468328475952148
3,3,GhostRiderz,38,lap_complete,100.0,13.017506837844849,1.6692826747894287
4,3,PIM Particle,11,lap_complete,100.0,15.704150438308716,2.686643600463867
5,3,Beserk Baby,22,lap_complete,100.0,15.939308881759644,0.23515844345092773
6,3,T-Minus-10,10,lap_complete,100.0,16.0156090259552,0.07630014419555664
7,3,RaceCar,18,lap_complete,100.0,18.109851598739624,2.094242572784424
8,3,BabyStep,28,lap_complete,100.0,28.789538145065308,10.679686546325684
9,3,Lightning McQueen,24,off_track,73.0259,14.919102191925049,
10,3,Marathon,55,off_track,68.4207,20.305668830871582,
11,3,BlueStreak,05,off_track,52.8805,7.195224046707153,
12,3,Storm,35,off_track,48.0026,7.5785253047943115,
13,3,Artificial Racer,88,off_track,29.4447,3.7040460109710693,
