x,y
2.5499,0.6832
2.5506,0.6839
2.5526,0.6902
2.5582,0.7063
2.567,0.7207
2.5779,0.7367
2.5894,0.751
2.6075,0.7656
2.6265,0.7787
2.6488,0.7949
2.6808,0.8179
2.7235,0.8494
2.7658,0.8808
2.8052,0.9095
2.8376,0.9311
2.8671,0.9488
2.9021,0.9671
2.9248,0.9768
2.9478,0.9847
2.9666,0.9913
2.9934,0.9999
3.0158,1.0055
3.0407,1.0107
3.0846,1.0185
3.1359,1.0244
3.1785,1.0254
3.222,1.0242
3.2667,1.0201
3.319,1.0104
3.3606,0.9982
3.3942,0.9849
3.4255,0.9712
3.4601,0.9563
3.513,0.9334
3.5612,0.9102
3.6194,0.8803
3.6591,0.8565
3.7009,0.8269
3.7319,0.8041
3.7652,0.7792
3.8138,0.7405
3.8572,0.7058
3.8861,0.6831
3.9205,0.6587
3.9569,0.6361
4.0078,0.6091
4.0497,0.591
4.1017,0.5731
4.1527,0.5605
4.2003,0.5529
4.2347,0.5509
4.2714,0.5516
4.3165,0.5562
4.3861,0.5681
4.4362,0.5797
4.4952,0.5964
4.5582,0.6147
4.6014,0.6266
4.6398,0.636
4.6672,0.6412
4.6986,0.6463
4.7217,0.6494
4.7463,0.6515
4.772,0.6521
4.7943,0.6515
4.8169,0.6498
4.8421,0.6468
4.8741,0.6431
4.9008,0.64
4.9351,0.6356
4.9633,0.6316
4.9987,0.6262
5.0398,0.6213
5.0934,0.6151
5.1431,0.609
5.1898,0.6046
5.2272,0.6025
5.2544,0.6019
5.2829,0.6012
5.3263,0.6028
5.3661,0.6048
5.4075,0.6094
5.443,0.6145
5.4713,0.6185
5.4883,0.6209
5.5168,0.6249
5.5466,0.6273
5.5606,0.6277
5.5929,0.6283
5.6151,0.6281
5.638,0.6276
5.6582,0.627
5.6901,0.6252
5.7358,0.6191
5.7893,0.6104
5.8322,0.6049
5.8718,0.6
5.9109,0.5944
5.9675,0.5863
6.0301,0.5769
6.1029,0.5682
6.1617,0.5645
6.2259,0.5614
6.2811,0.5613
6.3234,0.5638
6.3786,0.5712
6.4217,0.5804
6.4642,0.5922
6.5053,0.6075
6.5503,0.6276
6.6025,0.6582
6.6441,0.6894
6.6719,0.7153
6.6967,0.7394
6.7209,0.7644
6.7471,0.7923
6.7809,0.8343
6.8073,0.8733
6.8241,0.9033
6.8372,0.9307
6.8492,0.9564
6.862,0.9843
6.8768,1.0184
6.8956,1.0631
6.91,1.102
6.9228,1.1486
6.9324,1.1891
6.9427,1.2353
6.9518,1.2808
6.9605,1.3267
6.9692,1.3772
6.9768,1.416
6.9879,1.4631
7.0025,1.5114
7.0252,1.5784
7.046,1.6463
7.064,1.7164
7.0777,1.7695
7.0917,1.8244
7.0996,1.8674
7.1057,1.9257
7.1074,1.9862
7.104,2.0375
7.0955,2.092
7.0841,2.1367
7.0623,2.1968
7.0328,2.2566
6.9979,2.3093
6.9597,2.3538
6.9124,2.3975
6.8652,2.4313
6.8095,2.4616
6.7722,2.4759
6.7293,2.4905
6.7002,2.4989
6.6706,2.5076
6.6479,2.5142
6.6164,2.5229
6.5701,2.5375
6.5256,2.5544
6.4799,2.5741
6.4349,2.5973
6.3989,2.6198
6.3635,2.6418
6.3201,2.6694
6.2776,2.6943
6.2316,2.7214
6.1863,2.7456
6.1436,2.7654
6.1074,2.7802
6.0662,2.7947
6.0169,2.8076
5.9688,2.8158
5.9212,2.82
5.8759,2.8198
5.8463,2.8183
5.8184,2.8156
5.7733,2.8071
5.7351,2.797
5.6897,2.7801
5.6306,2.7536
5.5861,2.7317
5.5369,2.7072
5.5016,2.6909
5.4721,2.6786
5.4486,2.6692
5.424,2.6616
5.3936,2.6534
5.3545,2.6457
5.3101,2.6402
5.278,2.6384
5.2502,2.6384
5.226,2.6399
5.2034,2.6425
5.1819,2.646
5.1597,2.6504
5.1348,2.6568
5.113,2.6637
5.0846,2.6728
5.0469,2.6876
5.0107,2.7048
4.9752,2.7233
4.9432,2.738
4.9138,2.7507
4.8865,2.7628
4.855,2.7775
4.8263,2.7898
4.7943,2.8035
4.7631,2.8173
4.7363,2.8277
4.715,2.8356
4.6917,2.8459
4.6694,2.8576
4.649,2.8688
4.6295,2.8807
4.61,2.8942
4.5908,2.9091
4.5733,2.9242
4.5507,2.9458
4.5296,2.9661
4.5098,2.9832
4.4909,3.0005
4.4681,3.0242
4.4383,3.0567
4.4127,3.0876
4.3902,3.1189
4.3725,3.1447
4.3597,3.1646
4.3428,3.1907
4.321,3.223
4.2886,3.2667
4.2537,3.3117
4.2227,3.3496
4.1944,3.3838
4.1642,3.4189
4.1331,3.4559
4.1008,3.4929
4.0671,3.5322
4.0415,3.5606
4.0217,3.5835
3.9954,3.6134
3.9635,3.65
3.9236,3.6952
3.8875,3.7355
3.856,3.7686
3.8237,3.7993
3.7848,3.8343
3.7452,3.8715
3.709,3.9069
3.68,3.9371
3.6195,3.9993
3.6117,4.0076
3.5766,4.0416
3.5471,4.0676
3.5192,4.0921
3.4801,4.1275
3.4466,4.1544
3.4112,4.182
3.3753,4.2091
3.3371,4.2381
3.3002,4.2651
3.2574,4.2939
3.2022,4.3278
3.1506,4.358
3.0997,4.3834
3.0521,4.4024
3.007,4.4162
2.961,4.4271
2.9129,4.437
2.8663,4.446
2.8146,4.4521
2.7605,4.4542
2.7109,4.4498
2.6586,4.4412
2.6149,4.4313
2.5774,4.4238
2.5332,4.4145
2.4952,4.4076
2.4312,4.3989
2.3589,4.3934
2.295,4.3926
2.2206,4.3966
2.1548,4.4057
2.0963,4.4177
2.0497,4.4271
1.9994,4.4378
1.9527,4.4512
1.9062,4.467
1.8484,4.4848
1.8133,4.4962
1.7798,4.5073
1.7419,4.5176
1.6969,4.5273
1.6449,4.5357
1.5946,4.5401
1.552,4.541
1.5042,4.5383
1.4561,4.5318
1.4134,4.5222
1.3702,4.5089
1.3315,4.4933
1.28,4.4655
1.2593,4.4522
1.2244,4.428
1.1962,4.408
1.1697,4.3863
1.139,4.3594
1.1152,4.3377
1.0899,4.3136
1.0661,4.2878
1.0395,4.2535
1.0161,4.2173
0.9951,4.1806
0.9697,4.1323
0.9518,4.0962
0.9342,4.0544
0.9182,4.0119
0.9014,3.971
0.8831,3.9288
0.858,3.8779
0.8294,3.8231
0.7987,3.7682
0.7653,3.7098
0.7408,3.6592
0.7196,3.6101
0.7046,3.5678
0.6929,3.5275
0.6821,3.4779
0.676,3.433
0.6736,3.3925
0.6749,3.3489
0.6786,3.3125
0.6855,3.2643
0.6942,3.2192
0.7032,3.1844
0.7176,3.1388
0.7374,3.0923
0.7651,3.0374
0.7876,2.9928
0.8049,2.9549
0.8184,2.9229
0.8346,2.8841
0.851,2.8405
0.8672,2.7975
0.8814,2.7536
0.8965,2.7041
0.9086,2.6611
0.923,2.612
0.936,2.5636
0.9468,2.5186
0.9564,2.4724
0.9629,2.4364
0.9629,2.4364
0.9684,2.3727
0.9685,2.3563
0.9673,2.3273
0.9654,2.3002
0.9634,2.2507
0.963,2.2021
0.9644,2.158
0.9679,2.1029
0.9737,2.0578
0.9818,2.013
0.9933,1.968
1.0069,1.9247
1.0191,1.8902
1.0366,1.8415
1.0528,1.7924
1.0749,1.7296
1.0931,1.686
1.1131,1.643
