x,y
2.5504,0.6832
2.5517,0.6832
2.5645,0.6843
2.5882,0.6864
2.629,0.6898
2.6868,0.694
2.7554,0.6988
2.8449,0.7039
2.9328,0.7076
3.0246,0.7108
3.1318,0.7146
3.2108,0.7174
3.3082,0.7206
3.3958,0.7233
3.4987,0.7264
3.5959,0.7267
3.7071,0.7219
3.8441,0.7082
3.9942,0.6867
4.1356,0.6575
4.2623,0.6259
4.3671,0.598
4.4688,0.569
4.5548,0.5452
4.677,0.5208
4.743,0.511
4.8626,0.4946
4.9528,0.4837
5.0444,0.4734
5.1376,0.4638
5.2252,0.4582
5.3221,0.4567
5.4206,0.4571
5.5017,0.4577
5.6047,0.4629
5.6953,0.4751
5.7823,0.4916
5.8725,0.5109
5.9513,0.5281
6.0556,0.5492
6.1427,0.5699
6.2371,0.598
6.348,0.6432
6.4504,0.6919
6.5453,0.7446
6.6294,0.7988
6.7278,0.878
6.838,0.9901
6.9249,1.0987
7.0066,1.2183
7.0767,1.3422
7.1314,1.4725
7.1732,1.6194
7.2004,1.7661
7.2136,1.8915
7.2163,1.9995
7.2077,2.1123
7.1917,2.2062
7.1694,2.2926
7.1395,2.3748
7.1006,2.4548
7.0486,2.5355
6.9971,2.5979
6.9381,2.6545
6.8636,2.7098
6.7882,2.7515
6.7071,2.7832
6.6163,2.8063
6.5234,2.8156
6.4307,2.8145
6.3424,2.8047
6.2447,2.7838
6.1575,2.7613
6.0585,2.7345
5.9686,2.7095
5.8741,2.686
5.77,2.6683
5.6238,2.6581
5.5028,2.6613
5.3322,2.682
5.2119,2.7108
5.093,2.7522
4.9669,2.8124
4.8749,2.8691
4.7964,2.9308
4.7328,2.99
4.6577,3.071
4.5986,3.1437
4.5442,3.2232
4.4934,3.3111
4.4468,3.4014
4.4066,3.4828
4.3602,3.5717
4.3149,3.6496
4.263,3.7321
4.2071,3.8115
4.1533,3.8786
4.0755,3.9578
4.0185,4.0047
3.9209,4.0727
3.8419,4.1181
3.7548,4.1612
3.6694,4.201
3.5783,4.2403
3.4919,4.2756
3.4228,4.3041
3.3202,4.347
3.237,4.3817
3.1513,4.4176
3.0598,4.4537
2.9731,4.4821
2.893,4.5022
2.7882,4.5199
2.6879,4.5297
2.6136,4.5342
2.5053,4.5348
2.4129,4.5289
2.3204,4.5205
2.2246,4.5102
2.1328,4.4942
2.0354,4.4696
1.943,4.4396
1.8553,4.4077
1.7636,4.3714
1.6811,4.3366
1.5956,4.2989
1.5095,4.2597
1.4195,4.2135
1.3365,4.1636
1.2656,4.1135
1.1813,4.0428
1.1116,3.9731
1.0499,3.9022
0.9836,3.8105
0.9358,3.7332
0.8941,3.6547
0.8505,3.5621
0.8084,3.4579
0.7791,3.3582
0.757,3.2533
0.7487,3.1632
0.7498,3.065
0.7608,2.955
0.7766,2.8689
0.8065,2.7611
0.8382,2.6676
0.8695,2.5743
0.8936,2.496
0.9218,2.3941
0.9395,2.3102
0.9525,2.209
0.9584,2.1199
0.9613,2.0327
0.9643,1.9398
0.9667,1.8449
0.9697,1.7499
0.9746,1.6576
0.9794,1.5611
0.9864,1.4705
0.9993,1.383
1.0211,1.2889
1.0487,1.2061
1.0775,1.1404
1.1313,1.047
1.1767,0.9863
1.2456,0.9139
1.3047,0.8656
1.3774,0.8192
1.4516,0.7839
1.5379,0.7555
1.6235,0.7392
1.7011,0.7305
1.8073,0.7264
1.8913,0.7343
2.003,0.7526
2.088,0.7683
2.1815,0.7853
2.2804,0.8044
2.3868,0.8256
2.4938,0.8434
2.5713,0.8533
2.6641,0.8625
2.7597,0.8679
2.8557,0.8681
2.9476,0.8599
