x,y
2.5503,0.683
2.5509,0.683
2.552,0.683
2.5637,0.6826
2.5899,0.6815
2.6268,0.68
2.6901,0.6788
2.7589,0.6779
2.8476,0.677
2.9388,0.6777
3.0588,0.6807
3.1712,0.6836
3.3081,0.6876
3.4577,0.6918
3.6022,0.6941
3.7374,0.6928
3.8842,0.6917
4.0452,0.6905
4.2097,0.6894
4.3685,0.6885
4.5757,0.687
4.747,0.6855
4.9105,0.6837
5.1271,0.6815
5.3427,0.6817
5.5268,0.6899
5.6793,0.7066
5.8385,0.7364
5.976,0.77
6.1197,0.8081
6.2865,0.8521
6.3957,0.8798
6.5034,0.9104
6.5984,0.942
6.6875,0.9803
6.7697,1.025
6.849,1.0766
6.9219,1.1327
6.9993,1.2028
7.0595,1.2668
7.115,1.3376
7.1701,1.4253
7.2139,1.5128
7.2572,1.6261
7.28,1.7092
7.2954,1.7899
7.3044,1.8676
7.307,1.9677
7.299,2.0605
7.2848,2.1378
7.2613,2.2227
7.2288,2.3075
7.1834,2.397
7.1334,2.4743
7.0822,2.5389
7.0164,2.6067
6.9388,2.668
6.8588,2.7174
6.7604,2.765
6.6454,2.8039
6.5198,2.831
6.4107,2.841
6.3068,2.8375
6.1937,2.8288
6.0998,2.8195
5.9878,2.8055
5.8731,2.7903
5.7737,2.7807
5.6693,2.7754
5.5776,2.7754
5.4648,2.7804
5.3678,2.7892
5.2509,2.8064
5.1582,2.8264
5.062,2.856
4.9571,2.8995
4.8677,2.9405
4.7497,2.9955
4.6609,3.0405
4.5337,3.1107
4.4416,3.1658
4.3285,3.2365
4.2428,3.288
4.1456,3.3442
4.0616,3.395
3.9647,3.4562
3.8701,3.5181
3.7449,3.6046
3.6453,3.6745
3.5202,3.7629
3.4164,3.8424
3.3273,3.9174
3.2478,3.9917
3.168,4.0751
3.1003,4.1513
3.0277,4.2336
2.969,4.2996
2.8988,4.372
2.8161,4.4461
2.7461,4.504
2.6687,4.561
2.5747,4.6185
2.4901,4.6595
2.4031,4.6895
2.3001,4.7118
2.202,4.7223
2.101,4.7235
2.0199,4.716
1.9116,4.6929
1.8061,4.6558
1.7172,4.6154
1.6272,4.5685
1.5467,4.5189
1.4509,4.448
1.3686,4.3791
1.2974,4.3164
1.2166,4.2444
1.1339,4.1745
1.0531,4.1081
0.9826,4.0483
0.9092,3.9796
0.8482,3.9125
0.7915,3.8393
0.7358,3.7555
0.6943,3.6806
0.6532,3.5852
0.6213,3.4877
0.6032,3.4083
0.5898,3.3031
0.5873,3.2064
0.595,3.1048
0.6085,3.0273
0.6324,2.9202
0.6586,2.8267
0.6958,2.7143
0.7222,2.631
0.746,2.5489
0.7759,2.4345
0.8001,2.3484
0.8361,2.2355
0.8712,2.1362
0.9118,2.0336
0.9575,1.9305
1.0048,1.8399
1.0526,1.7575
1.1124,1.6565
1.167,1.5636
1.2167,1.4753
1.2639,1.3888
1.3245,1.273
1.3782,1.1671
1.4294,1.0737
1.4757,0.9978
1.5413,0.9028
1.5974,0.8368
1.6656,0.7704
1.7323,0.7169
1.8092,0.6666
1.8947,0.6222
1.9856,0.5875
2.0958,0.5607
2.1965,0.5475
2.3372,0.5467
2.4437,0.5588
2.5503,0.5825
2.6358,0.6117
2.7494,0.6563
2.8455,0.6943
2.9476,0.7325
