x,y
2.5507,0.683
2.5512,0.6829
2.5597,0.6816
2.5824,0.677
2.6261,0.6671
2.6823,0.6526
2.7503,0.6356
2.8125,0.6185
2.8845,0.599
2.9657,0.5799
3.0252,0.5697
3.117,0.5574
3.1952,0.5538
3.2683,0.5546
3.3375,0.5571
3.4076,0.5629
3.4737,0.569
3.5457,0.5747
3.6071,0.5808
3.6829,0.5911
3.749,0.6
3.8274,0.607
3.8932,0.6091
3.9612,0.6071
4.0298,0.604
4.0999,0.6009
4.1667,0.597
4.2413,0.5896
4.2965,0.5802
4.3714,0.5654
4.4413,0.5507
4.5083,0.5355
4.5783,0.5201
4.6681,0.5052
4.7353,0.4983
4.7993,0.494
4.8748,0.4921
4.9474,0.4941
5.0201,0.4977
5.0965,0.502
5.1644,0.5082
5.2322,0.517
5.3089,0.5271
5.373,0.5354
5.4459,0.5437
5.5144,0.55
5.5895,0.557
5.655,0.5648
5.7323,0.5735
5.8039,0.5818
5.8668,0.5905
5.9417,0.6013
6.0101,0.6102
6.0805,0.6176
6.1493,0.6248
6.2178,0.6334
6.289,0.6434
6.3592,0.6557
6.431,0.6706
6.4965,0.6871
6.566,0.7075
6.6312,0.7299
6.6995,0.7589
6.761,0.7893
6.8224,0.824
6.8889,0.8694
6.9427,0.914
6.9965,0.9668
7.04,1.0157
7.0897,1.0837
7.1228,1.1381
7.1561,1.2027
7.1862,1.2753
7.2046,1.3374
7.2191,1.4215
7.2223,1.4946
7.2156,1.5747
7.2013,1.6495
7.1844,1.718
7.1668,1.7901
7.1485,1.8648
7.1331,1.9188
7.1094,1.9961
7.0853,2.0714
7.0578,2.1449
7.0297,2.2055
6.9975,2.2646
6.9596,2.3253
6.9084,2.3929
6.8407,2.4592
6.7567,2.522
6.6635,2.5762
6.5657,2.6167
6.4995,2.6352
6.4066,2.6508
6.3466,2.6542
6.2631,2.6505
6.1768,2.6393
6.0982,2.6267
6.0171,2.6123
5.9205,2.5951
5.8503,2.5817
5.7717,2.5694
5.6915,2.5628
5.6059,2.5643
5.5136,2.577
5.4344,2.5937
5.3638,2.612
5.2899,2.6362
5.2297,2.6602
5.1586,2.6932
5.0945,2.7278
5.0322,2.7667
4.9733,2.8089
4.9142,2.8535
4.8594,2.8943
4.8028,2.9351
4.7457,2.9756
4.6875,3.0163
4.6262,3.0595
4.5734,3.1004
4.5264,3.1386
4.4655,3.1941
4.4203,3.2436
4.3755,3.3023
4.3372,3.3574
4.2937,3.4215
4.2617,3.4674
4.2039,3.5426
4.1503,3.6062
4.1014,3.659
4.0521,3.7079
3.7917,3.9789
3.7779,3.9951
3.7581,4.0186
3.7146,4.0708
3.6723,4.1211
3.6282,4.1727
3.5742,4.2325
3.5257,4.2806
3.4614,4.3339
3.3896,4.3807
3.2895,4.43
3.1763,4.4699
3.0854,4.4895
2.9954,4.498
2.9197,4.4964
2.8488,4.4918
2.7789,4.4861
2.7011,4.4751
2.6312,4.4632
2.5723,4.454
2.5002,4.4421
2.4078,4.4258
2.3336,4.4099
2.255,4.3939
2.1771,4.3779
2.1102,4.3643
2.0414,4.3509
1.9748,4.3381
1.9056,4.3282
1.8368,4.3207
1.7662,4.3131
1.6936,4.3058
1.6071,4.2987
1.5323,4.2915
1.4431,4.2812
1.3625,4.2672
1.2804,4.2467
1.2014,4.2177
1.1109,4.1699
1.0252,4.1101
0.9305,4.0251
0.8434,3.9277
0.7861,3.8495
0.7362,3.7604
0.7088,3.6907
0.6896,3.62
0.6777,3.5511
0.6726,3.4824
0.6761,3.4061
0.6862,3.3346
0.6998,3.2634
0.7128,3.2036
0.7298,3.1348
0.7488,3.0551
0.7668,2.9844
0.7895,2.9102
0.8173,2.8289
0.8436,2.7519
0.8656,2.6813
0.8875,2.6063
0.9069,2.5326
0.919,2.4692
0.927,2.3997
0.933,2.3273
0.9361,2.2677
0.938,2.1657
0.9383,2.0947
0.9379,2.0263
0.9371,1.9233
0.9359,1.8373
0.9354,1.7516
0.9395,1.6715
0.9481,1.6001
0.9615,1.5305
0.9798,1.4641
1.009,1.3881
1.0373,1.3306
1.0747,1.2671
1.1067,1.2193
1.1587,1.1535
1.2066,1.1017
1.2591,1.0527
1.3193,1.0044
1.373,0.9674
1.4384,0.9286
1.5047,0.8964
1.5757,0.8705
1.6398,0.8542
1.706,0.8431
1.7719,0.8346
1.8464,0.8265
1.9262,0.8238
1.9985,0.8248
2.0881,0.8278
2.1516,0.8317
2.2248,0.8399
2.3055,0.8535
2.3848,0.8679
2.4474,0.8779
2.5318,0.8876
2.6301,0.8896
2.7176,0.887
2.8044,0.8794
2.8821,0.868
2.9485,0.8565
