x,y
2.5513,0.6833
2.552,0.6835
2.5619,0.6849
2.5872,0.6884
2.6264,0.6944
2.6709,0.7018
2.7474,0.7148
2.8291,0.7285
2.8951,0.7397
2.9581,0.7492
3.0296,0.7567
3.1045,0.7635
3.1754,0.7683
3.2841,0.7705
3.3688,0.7667
3.46,0.7563
3.5328,0.7464
3.6,0.7355
3.6786,0.7224
3.7468,0.7109
3.8158,0.6975
3.8907,0.6832
3.95,0.6715
4.0182,0.6559
4.0965,0.6372
4.1597,0.6228
4.227,0.6069
4.3028,0.5913
4.364,0.5814
4.4432,0.5731
4.5071,0.5704
4.5786,0.5717
4.6549,0.5762
4.7232,0.5834
4.7935,0.5935
4.862,0.6024
4.9337,0.6103
5.0118,0.6182
5.071,0.6241
5.144,0.6297
5.2284,0.6328
5.3049,0.6356
5.3811,0.6406
5.4517,0.6468
5.5147,0.6552
5.5909,0.6674
5.6626,0.6801
5.729,0.6923
5.7937,0.704
5.869,0.7165
5.9516,0.7306
6.029,0.7434
6.1406,0.7621
6.2408,0.7827
6.3358,0.8054
6.4161,0.8245
6.4798,0.8398
6.5738,0.8679
6.6538,0.8999
6.7452,0.9441
6.8116,0.9811
6.8864,1.028
6.9507,1.0739
7.0036,1.115
7.0669,1.1718
7.1179,1.23
7.1565,1.283
7.1971,1.3521
7.2303,1.4286
7.2586,1.5285
7.2725,1.6222
7.2741,1.7329
7.2637,1.8162
7.2385,1.9166
7.2132,1.9821
7.1528,2.0853
7.0894,2.1662
7.0107,2.247
6.9422,2.3017
6.8612,2.354
6.8018,2.3872
6.7402,2.4191
6.6741,2.448
6.6096,2.4733
6.5536,2.4943
6.4853,2.5202
6.4139,2.548
6.3514,2.5728
6.2944,2.5964
6.231,2.6243
6.1589,2.6588
6.091,2.6916
6.0207,2.7275
5.9575,2.7622
5.8967,2.795
5.8441,2.8231
5.7685,2.8621
5.6921,2.8958
5.5818,2.9354
5.4678,2.9641
5.3754,2.9764
5.298,2.9806
5.2278,2.982
5.143,2.9828
5.0577,2.9815
4.9867,2.9793
4.906,2.9775
4.8204,2.9762
4.7278,2.9797
4.6445,2.9875
4.5676,3.0006
4.503,3.0163
4.4317,3.0389
4.3601,3.0687
4.2971,3.1018
4.2406,3.1368
4.1759,3.1866
4.13,3.228
4.067,3.2964
4.0282,3.3499
3.9885,3.4124
3.9561,3.4724
3.9264,3.5354
3.8959,3.6034
3.8663,3.6737
3.8375,3.7388
3.8058,3.8045
3.7737,3.8674
3.7303,3.9486
3.6849,4.0264
3.6419,4.0929
3.5846,4.1718
3.5328,4.2351
3.482,4.2909
3.4373,4.3361
3.3871,4.3818
3.2966,4.4437
3.2021,4.4905
3.1025,4.5259
3.0201,4.5447
2.93,4.5558
2.8558,4.5549
2.785,4.546
2.7187,4.533
2.6488,4.5161
2.5779,4.4985
2.5097,4.4817
2.4498,4.4674
2.3798,4.4511
2.3021,4.4357
2.2301,4.4242
2.1361,4.4082
2.0666,4.3953
2.0037,4.3838
1.9087,4.3679
1.8364,4.3545
1.76,4.3402
1.6964,4.3279
1.6255,4.3136
1.5679,4.3007
1.4938,4.282
1.4188,4.262
1.3408,4.24
1.2688,4.2154
1.2002,4.1866
1.1243,4.1494
1.0624,4.1143
1.0064,4.077
0.9525,4.0373
0.8947,3.9864
0.8451,3.9323
0.7932,3.867
0.7513,3.8054
0.7107,3.7313
0.6734,3.6455
0.642,3.5468
0.6262,3.4627
0.6212,3.3812
0.6254,3.307
0.6342,3.2471
0.6559,3.1594
0.6755,3.0961
0.7035,3.0263
0.732,2.9634
0.7601,2.9012
0.7935,2.8241
0.8187,2.7635
0.8467,2.6959
0.8754,2.6255
0.9039,2.5547
0.9307,2.4849
0.9628,2.398
0.9874,2.3269
1.0067,2.267
1.0272,2.1979
1.0444,2.1325
1.0587,2.0608
1.0697,1.9921
1.0801,1.9205
1.0889,1.8458
1.0986,1.7602
1.107,1.6881
1.1127,1.631
1.1247,1.5398
1.1371,1.4659
1.1504,1.3943
1.1727,1.3085
1.2016,1.2305
1.2311,1.1631
1.2631,1.0989
1.3023,1.0303
1.3372,0.9771
1.3843,0.9182
1.428,0.8726
1.4814,0.8258
1.5429,0.7825
1.6054,0.7476
1.6674,0.7191
1.7501,0.688
1.8241,0.6653
1.893,0.6494
1.9677,0.6364
2.0387,0.6263
2.1028,0.6187
2.1748,0.61
2.2506,0.6006
2.317,0.5927
2.3852,0.5837
2.4564,0.5731
2.533,0.5627
2.5983,0.5547
2.6711,0.5465
2.734,0.542
2.8081,0.5385
2.8823,0.5357
2.9478,0.5323
