x,y
2.55,0.683
2.5504,0.6831
2.5553,0.6827
2.5729,0.6813
2.6082,0.6777
2.6617,0.6729
2.7216,0.666
2.798,0.6557
2.8848,0.645
2.9719,0.6347
3.0742,0.6221
3.1994,0.607
3.3266,0.5921
3.4744,0.5761
3.6318,0.56
3.8223,0.5418
4.0056,0.5257
4.1892,0.5113
4.3831,0.5003
4.5756,0.4898
4.7757,0.4787
4.9721,0.4733
5.1863,0.4759
5.3819,0.4814
5.5976,0.4891
5.7787,0.496
6.0001,0.5049
6.2202,0.521
6.3789,0.541
6.5418,0.5726
6.7049,0.6181
6.8281,0.6644
6.937,0.7166
7.0369,0.7763
7.1411,0.8532
7.2243,0.9306
7.3259,1.048
7.4119,1.1725
7.4916,1.3122
7.549,1.4296
7.5941,1.5379
