x,y
2.5503,0.6831
2.5509,0.6831
2.5578,0.6831
2.5741,0.6839
2.6051,0.6857
2.6574,0.6892
2.7041,0.691
2.7534,0.6904
2.7984,0.688
2.8421,0.6857
2.8897,0.6829
2.9388,0.6785
2.9821,0.6739
3.0243,0.6667
3.0731,0.6564
3.1201,0.6449
3.1783,0.6315
3.2307,0.6202
3.288,0.6084
3.3673,0.5941
3.448,0.5839
3.5115,0.5807
3.5841,0.5808
3.6584,0.5856
3.7287,0.5905
3.7957,0.5937
3.8449,0.5968
3.8896,0.5999
3.9392,0.6037
3.9879,0.6076
4.037,0.6098
4.0824,0.6096
4.1223,0.6079
4.172,0.6051
4.2168,0.6018
4.2647,0.5958
4.3054,0.5888
4.3603,0.577
4.4179,0.5634
4.4738,0.5507
4.546,0.5373
4.6198,0.5251
4.6849,0.5165
4.7398,0.5103
4.7835,0.5069
4.8318,0.5039
4.8796,0.504
4.924,0.5063
4.9694,0.5097
5.013,0.513
5.0591,0.5176
5.1059,0.5221
5.1437,0.5266
5.2018,0.5331
5.2485,0.5392
5.2893,0.5442
5.3389,0.5494
5.3836,0.5533
5.4338,0.5583
5.4764,0.5619
5.5225,0.5664
5.5706,0.5705
5.6159,0.5733
5.6622,0.5753
5.7118,0.5794
5.7593,0.5823
5.8061,0.5873
5.8527,0.5912
5.8953,0.5966
5.9401,0.6041
5.9963,0.6148
6.0591,0.6309
6.1234,0.6528
6.1727,0.6738
6.2172,0.6936
6.2601,0.7143
6.3106,0.7398
6.3604,0.768
6.3973,0.7926
6.4348,0.821
6.4695,0.8494
6.5049,0.8802
6.5322,0.906
6.5757,0.9483
6.6221,0.9959
6.669,1.0428
6.7206,1.0944
6.772,1.1478
6.826,1.2021
6.8695,1.2478
6.9022,1.2859
6.9388,1.3339
6.9708,1.3775
7.0029,1.4248
7.0324,1.4727
7.0581,1.5215
7.0789,1.5624
7.1025,1.6114
7.1216,1.6614
7.1355,1.7053
7.1482,1.7594
7.1584,1.8158
7.1632,1.8631
7.1661,1.9109
7.169,1.9568
7.1691,2.0002
7.1662,2.0533
7.1578,2.1147
7.1416,2.1839
7.1162,2.2581
7.0634,2.3624
7.0048,2.4522
6.9501,2.5126
6.8907,2.5613
6.8157,2.6079
6.7633,2.6348
6.7075,2.6601
6.6579,2.6805
6.5988,2.7008
6.5362,2.7178
6.4698,2.7355
6.3977,2.7511
6.3161,2.7655
6.2123,2.7793
6.1025,2.789
5.9862,2.7999
5.8978,2.8091
5.8308,2.8191
5.7343,2.8372
5.6708,2.8518
5.6097,2.8678
5.5331,2.8862
5.4781,2.8986
5.411,2.9123
5.3478,2.924
5.2951,2.9352
5.2444,2.9477
5.19,2.9647
5.1467,2.9796
5.0988,2.9993
5.0578,3.0177
5.016,3.0382
4.9771,3.0588
4.9272,3.086
4.8743,3.1161
4.8028,3.1591
4.7201,3.216
4.6426,3.2784
4.5326,3.3985
4.5028,3.4393
4.4747,3.4822
4.4543,3.5186
4.4299,3.5647
