x,y
2.5497,0.6831
2.55,0.6831
2.5509,0.6832
2.558,0.6829
2.5807,0.682
2.6215,0.6803
2.6553,0.6766
2.6873,0.6713
2.7319,0.6635
2.7804,0.6543
2.8261,0.6448
2.8701,0.6379
2.916,0.6309
2.9692,0.6255
3.0176,0.6219
3.0763,0.62
3.1409,0.6222
3.2102,0.6303
3.2744,0.6442
3.3217,0.6569
3.3734,0.6704
3.4356,0.6846
3.4965,0.6981
3.544,0.7073
3.5867,0.7134
3.6234,0.7166
3.6458,0.7172
3.6742,0.7163
3.7229,0.7113
3.762,0.7056
3.7991,0.6975
3.8407,0.6877
3.8791,0.6798
3.9072,0.675
3.9341,0.6721
3.9556,0.6705
3.9916,0.6702
4.0216,0.6718
4.043,0.674
4.0697,0.6782
4.0921,0.6816
4.1237,0.6875
4.1623,0.6972
4.1957,0.7067
4.2293,0.7153
4.2823,0.7268
4.3452,0.7373
4.4107,0.745
4.4637,0.7476
4.5389,0.7485
4.6004,0.7458
4.6717,0.7395
4.7174,0.7354
4.7636,0.731
4.8099,0.7252
4.8649,0.7161
4.9019,0.7104
4.9294,0.7068
4.9519,0.7045
4.9755,0.7038
5.0004,0.7042
5.0363,0.7038
5.0806,0.7023
5.1324,0.698
5.1771,0.6919
5.2154,0.6863
5.2599,0.6817
5.2977,0.6803
5.3257,0.6789
5.3573,0.6775
5.3842,0.6767
5.4071,0.6749
5.4294,0.6718
5.4586,0.6683
5.4993,0.6652
5.5538,0.6606
5.6115,0.6559
5.6728,0.6502
5.7345,0.6446
5.7877,0.6425
5.8263,0.6435
5.8526,0.646
5.8813,0.6501
5.9069,0.6556
5.928,0.6619
5.9596,0.6697
5.9894,0.6775
6.0508,0.6992
6.0939,0.7167
6.1364,0.7338
6.1999,0.757
6.265,0.7779
6.3346,0.7964
6.4012,0.8097
6.4643,0.8206
6.5108,0.8302
6.565,0.8443
6.6,0.8554
6.6288,0.8665
6.6561,0.8792
6.6772,0.8904
6.6977,0.9025
6.7159,0.9141
6.7375,0.9304
6.7543,0.9447
6.7712,0.9595
6.7914,0.9769
6.8136,0.9985
6.8437,1.0306
6.8658,1.0585
6.8774,1.0774
6.8885,1.0972
6.9023,1.1187
6.9159,1.1374
6.9305,1.1575
6.9428,1.178
6.9562,1.1986
6.9674,1.2157
6.9821,1.2406
6.9927,1.2614
7.0032,1.2813
7.015,1.3042
7.0296,1.3345
7.0444,1.3617
7.057,1.3848
7.0665,1.4056
7.0766,1.4306
7.0841,1.4535
7.0896,1.4723
7.0975,1.5
7.1057,1.5279
7.1122,1.5495
7.1181,1.5703
7.1246,1.5939
7.1334,1.6244
7.1458,1.6704
7.1552,1.714
7.1598,1.7447
7.1622,1.7862
7.1616,1.822
7.1585,1.8573
7.1525,1.8936
7.1469,1.9188
7.1414,1.9419
7.1349,1.9644
7.1277,1.9855
7.12,2.0081
7.1115,2.0317
7.1026,2.0538
7.0949,2.0728
7.0849,2.0972
7.0744,2.1191
7.0623,2.1416
7.0512,2.162
7.04,2.1822
7.0274,2.2024
7.0159,2.2212
7.0029,2.2424
6.991,2.2613
6.9753,2.2838
6.9611,2.3024
6.947,2.3208
6.9328,2.3392
6.9176,2.3583
6.898,2.3832
6.8774,2.4092
6.8617,2.4287
6.8466,2.4452
6.8299,2.4616
6.808,2.4821
6.7937,2.496
6.7769,2.5108
6.7518,2.5302
6.7273,2.5492
6.7016,2.5681
6.6666,2.59
6.6434,2.6025
6.6195,2.6136
6.5839,2.6288
6.5331,2.6486
6.4734,2.6693
6.4009,2.6942
6.3446,2.7135
6.2598,2.741
6.2065,2.7564
6.1377,2.77
6.0765,2.7788
6.0245,2.7863
5.9824,2.7948
5.9349,2.8058
5.8856,2.8189
5.8439,2.8294
5.7981,2.8422
5.7577,2.8526
5.7099,2.8681
5.6634,2.8833
5.6248,2.8945
5.5716,2.9073
5.5039,2.9187
5.4335,2.925
5.3712,2.9254
5.319,2.921
5.2732,2.9146
5.2416,2.9098
5.2098,2.9059
5.1669,2.9018
5.1264,2.899
5.0758,2.8967
5.0291,2.8974
4.9852,2.8987
4.9362,2.9025
4.8881,2.9067
4.8546,2.9098
4.8332,2.9127
4.8068,2.9173
4.7808,2.9211
4.7551,2.9249
4.7327,2.9294
4.71,2.9344
4.6833,2.9398
4.6624,2.9451
4.6418,2.9509
4.6149,2.9581
4.5914,2.9639
4.5678,2.9697
4.5485,2.975
4.5251,2.9813
4.4994,2.9877
4.4745,2.994
4.4526,3.0001
4.4295,3.0064
4.4079,3.0127
4.3843,3.0198
4.3599,3.0278
4.337,3.0364
4.3174,3.0445
4.2956,3.0546
4.2706,3.0663
4.2319,3.0818
4.1931,3.0963
4.1421,3.1123
4.1029,3.1225
4.0501,3.1347
3.9822,3.1492
3.9164,3.1658
3.8676,3.1801
3.8148,3.1991
3.7725,3.217
3.7353,3.2359
3.689,3.2633
3.6506,3.2909
3.6119,3.3204
3.5712,3.3539
