x,y
2.5503,0.6831
2.5516,0.683
2.5538,0.6828
2.5699,0.6821
2.6042,0.6804
2.6528,0.6778
2.7061,0.6749
2.7942,0.6667
2.8593,0.6579
2.9724,0.638
3.0663,0.618
3.1826,0.5932
3.3011,0.5679
3.3949,0.548
3.5184,0.5227
3.6324,0.5053
3.7414,0.4938
3.8528,0.4834
3.9599,0.474
4.0687,0.4649
4.1792,0.4559
4.2964,0.4465
4.4086,0.4376
4.5209,0.4323
4.6249,0.4284
4.7357,0.4241
4.8532,0.4196
4.9606,0.4156
5.0748,0.4113
5.1856,0.4072
5.2981,0.403
5.4173,0.3985
5.5281,0.3972
5.6297,0.4007
5.7333,0.4057
5.8574,0.4124
5.9708,0.4218
6.0777,0.4368
6.1747,0.456
6.2926,0.4889
6.3986,0.5293
6.4902,0.5736
6.5855,0.6308
6.6722,0.6947
6.7534,0.7678
6.8238,0.8449
6.8872,0.9297
6.9425,1.0219
6.9808,1.1014
7.0245,1.2235
7.0491,1.3291
7.0611,1.4191
7.0647,1.5384
7.0585,1.6242
7.0373,1.7435
7.0102,1.8352
6.9675,1.9381
6.9157,2.0314
6.8518,2.1209
6.7859,2.1945
6.7002,2.2706
6.61,2.3331
6.5163,2.3831
6.4197,2.4218
6.3193,2.4498
6.2165,2.4665
6.1041,2.4746
6.0009,2.4761
5.8951,2.477
5.7794,2.4784
5.6669,2.4803
5.5563,2.485
5.4389,2.4978
5.3422,2.5158
5.2311,2.5464
5.1405,2.5802
5.0394,2.6291
4.9482,2.6853
4.8573,2.7525
4.7701,2.8274
4.692,2.9039
4.5973,3.0155
4.5367,3.1066
4.4785,3.2028
4.4264,3.2902
4.3706,3.3874
4.3112,3.4926
4.2554,3.5885
4.1992,3.68
4.1291,3.7817
4.0904,3.8308
3.9892,3.942
3.9155,4.011
3.8258,4.0877
3.7438,4.1513
3.6486,4.2151
3.5639,4.2643
3.4549,4.3212
3.338,4.3763
3.2285,4.4225
3.1108,4.4655
3.0036,4.5023
2.8763,4.5408
2.7488,4.5656
2.6358,4.5762
2.5053,4.5769
2.3818,4.5688
2.2662,4.5558
2.153,4.5391
2.0321,4.513
1.9246,4.4865
1.8162,4.458
1.7079,4.4252
1.6012,4.3857
1.5017,4.3423
1.4066,4.2941
1.3117,4.237
1.2344,4.1813
1.1495,4.1078
1.0715,4.0253
1.0084,3.943
0.9561,3.8593
0.9074,3.7595
0.8668,3.6396
0.8411,3.5276
0.827,3.4246
0.8217,3.3076
0.8246,3.1996
0.8304,3.0982
0.8413,2.9814
0.8553,2.8709
0.8659,2.7725
0.876,2.6554
0.8838,2.5332
0.8894,2.431
0.8962,2.3153
0.9044,2.2065
0.9187,2.0973
0.9416,1.9844
0.9714,1.8812
1.0088,1.7829
1.0542,1.6884
1.1083,1.5971
1.1751,1.502
1.2463,1.4157
1.3128,1.3454
1.4556,1.2201
1.5722,1.1372
1.688,1.0706
1.796,1.0174
1.8932,0.9762
2.0023,0.9374
2.1016,0.9057
2.2136,0.8728
2.3234,0.8426
2.4322,0.8175
2.5381,0.7993
2.6461,0.7866
2.7594,0.7802
2.8652,0.7775
2.9804,0.7765
