x,y
2.5501,0.683
2.5508,0.683
2.5618,0.6818
2.5853,0.6804
2.627,0.677
2.6719,0.6724
2.7227,0.6648
2.7751,0.6562
2.8335,0.6447
2.9061,0.6287
2.9913,0.6078
3.0706,0.5905
3.162,0.5764
3.2573,0.5695
3.3556,0.5687
3.4496,0.5687
3.5553,0.5676
3.6469,0.568
3.7385,0.569
3.8261,0.5675
3.8958,0.5622
3.9636,0.555
4.0504,0.5457
4.1067,0.5376
4.1663,0.5284
4.2096,0.5212
4.2644,0.5132
4.3101,0.5084
4.3876,0.5067
4.4552,0.5121
4.5139,0.5207
4.5779,0.5342
4.6499,0.5557
4.7175,0.5758
4.7903,0.5957
4.8824,0.6155
4.9777,0.6284
5.1118,0.6329
5.2301,0.6236
5.344,0.6045
5.4694,0.5735
5.5638,0.5477
5.652,0.5262
5.7217,0.514
5.7883,0.5068
5.8615,0.5063
5.9439,0.5159
6.0245,0.5356
6.1046,0.5651
6.1921,0.6085
6.2648,0.6578
6.3419,0.7219
6.3943,0.7729
6.451,0.8367
6.5174,0.9331
6.5604,1.0078
6.5949,1.0733
6.6275,1.1391
6.6541,1.1937
6.6744,1.2392
6.6951,1.2843
6.7127,1.3286
