x,y
2.5505,0.683
2.5509,0.683
2.5595,0.6823
2.5806,0.6804
2.6207,0.677
2.6735,0.6712
2.7212,0.6669
2.7933,0.6607
2.8506,0.6548
2.9043,0.6497
2.9666,0.6467
3.0206,0.6472
3.0817,0.6492
3.1421,0.6513
3.2042,0.6538
3.2579,0.6561
3.3211,0.6611
3.3924,0.6669
3.4451,0.6714
3.5095,0.6765
3.5776,0.6792
3.6458,0.6802
3.7017,0.678
3.7548,0.6741
3.8143,0.6692
3.8797,0.6642
3.9415,0.6587
4.0002,0.6541
4.0589,0.6523
4.1176,0.6518
4.1731,0.6508
4.2331,0.6494
4.2925,0.6493
4.353,0.6495
4.4062,0.6508
4.4733,0.6528
4.5288,0.6555
4.5821,0.6584
4.6402,0.6611
4.7082,0.6633
4.7614,0.6642
4.8225,0.6631
4.8837,0.6611
4.9443,0.6589
5.0043,0.6573
5.0578,0.6561
5.1193,0.6549
5.1749,0.6546
5.2371,0.6546
5.2979,0.6556
5.3546,0.6578
5.4209,0.6619
5.4699,0.666
5.5317,0.6726
5.5931,0.6799
5.6502,0.6859
5.7047,0.6923
5.7685,0.7001
5.824,0.7047
5.9118,0.7068
5.9967,0.7054
6.0695,0.7036
6.1421,0.7047
6.202,0.7075
6.2891,0.716
6.3899,0.7346
6.484,0.7633
6.6042,0.8159
6.7123,0.8772
6.8152,0.9505
6.913,1.0351
7.0016,1.1279
7.0739,1.2212
7.1367,1.3237
7.1897,1.439
7.2296,1.5602
7.2559,1.6735
7.2732,1.7926
7.2787,1.9345
7.2695,2.0491
7.2459,2.1692
7.2093,2.2857
7.1672,2.38
7.1105,2.4719
7.0471,2.5468
6.9665,2.6217
6.8836,2.6852
6.8114,2.7272
6.7498,2.7555
6.6719,2.7787
6.5996,2.792
6.5342,2.7974
6.4677,2.797
6.3914,2.7888
6.3099,2.7727
6.2268,2.7493
6.1514,2.7301
6.0844,2.7115
6.002,2.6899
5.8986,2.6726
5.786,2.6663
5.6724,2.6726
5.545,2.6926
5.4466,2.7197
5.3539,2.7544
5.2598,2.7962
5.1828,2.8341
5.0954,2.882
5.0079,2.9299
4.9341,2.9686
4.8668,3.0011
4.8114,3.0271
4.7501,3.0565
4.6975,3.0828
4.6503,3.1086
4.597,3.1402
4.5475,3.1727
4.4996,3.2079
4.4565,3.2429
4.4121,3.2835
4.3709,3.326
4.3318,3.3716
4.2923,3.421
4.2536,3.47
4.219,3.5116
4.1796,3.5572
4.1388,3.604
4.0914,3.6534
4.05,3.6909
3.987,3.74
3.9588,3.7605
3.9079,3.7946
3.8657,3.8208
3.8151,3.85
3.7563,3.8824
3.6973,3.9171
3.6526,3.9462
3.6035,3.979
3.5516,4.0147
3.4855,4.0613
3.4161,4.1097
3.3521,4.1538
3.3015,4.1876
3.2416,4.2274
3.1746,4.2728
3.0934,4.3283
3.021,4.3742
2.9462,4.4192
2.888,4.4524
2.8017,4.4952
2.7164,4.5286
2.6414,4.5472
2.5456,4.5598
2.4408,4.5607
2.3256,4.5471
2.2137,4.5218
2.1121,4.4875
2.0366,4.454
1.9416,4.4039
1.872,4.3657
1.8058,4.3302
1.7431,4.2986
1.6641,4.2654
1.5765,4.2379
1.4702,4.212
1.3612,4.1911
1.2609,4.1799
1.156,4.1664
1.0621,4.1518
0.9542,4.1272
0.8606,4.0975
0.7534,4.0527
0.6496,4.0043
0.5544,3.9554
0.4542,3.8981
0.3585,3.8392
0.2779,3.7848
