x,y
2.5537,0.6838
2.5547,0.6839
2.561,0.6845
2.5819,0.6854
2.6192,0.6851
2.6687,0.685
2.7166,0.6848
2.7788,0.6851
2.8341,0.6852
2.8953,0.6855
2.9546,0.6858
3.0093,0.6839
3.0785,0.68
3.131,0.678
3.1837,0.6768
3.2382,0.6761
3.2844,0.6762
3.3267,0.6765
3.3761,0.6784
3.4295,0.6811
3.4787,0.6835
3.5332,0.6847
3.5968,0.6859
3.6518,0.6848
3.7065,0.6835
3.7841,0.6811
3.8289,0.6771
3.8886,0.6701
3.9413,0.6636
4.0123,0.6541
4.0871,0.6479
4.1824,0.6437
4.252,0.6433
4.3105,0.6451
4.3811,0.6489
4.5083,0.6544
4.6249,0.6559
4.801,0.6491
4.9239,0.6373
5.0273,0.6264
5.1238,0.6161
5.2446,0.6058
5.3394,0.6029
5.4731,0.6054
5.5355,0.6079
5.6498,0.6175
5.6961,0.623
5.8036,0.6349
5.8945,0.6456
5.9993,0.6633
6.0872,0.6818
6.1789,0.7028
6.2534,0.7243
6.3566,0.7625
6.4531,0.8083
6.552,0.8597
6.6445,0.9097
6.7125,0.9475
6.774,0.9846
6.8262,1.0197
6.8758,1.0595
6.9306,1.114
6.9831,1.1783
7.0328,1.2524
7.0772,1.3351
7.1111,1.4155
7.1385,1.5027
7.1558,1.5841
7.1664,1.6773
7.1677,1.7591
7.1593,1.8578
7.1425,1.9445
7.1192,2.0227
7.0832,2.1106
7.0394,2.192
6.9978,2.2546
6.9355,2.3318
6.8847,2.3839
6.8018,2.4546
6.7262,2.5066
6.6508,2.5489
6.5732,2.5841
6.494,2.6099
6.4187,2.6205
6.3268,2.6227
6.2472,2.6182
6.1785,2.6098
6.1187,2.6024
6.048,2.5929
5.9708,2.5822
5.8753,2.5695
5.7978,2.5626
5.7182,2.5604
5.6533,2.5645
5.5661,2.5761
5.473,2.5961
5.392,2.6208
5.309,2.6555
5.2404,2.6924
5.1631,2.7394
5.0959,2.7923
5.047,2.8371
4.9934,2.8874
4.9397,2.9404
4.8913,2.9926
4.8391,3.0548
4.7929,3.1174
4.742,3.192
4.6765,3.2898
4.6136,3.3904
