x,y
2.55,0.6831
2.5525,0.6836
2.555,0.6842
2.5665,0.6878
2.5922,0.6936
2.6257,0.7006
2.6694,0.7104
2.7162,0.721
2.7789,0.7362
2.8673,0.7585
2.9193,0.7722
2.9899,0.793
3.0741,0.818
3.1435,0.8397
3.2299,0.8659
3.2769,0.8778
3.3481,0.8919
3.4403,0.905
3.5183,0.9147
3.5878,0.9195
3.6394,0.9199
3.6796,0.9175
3.7396,0.9126
3.8008,0.9062
3.8764,0.8921
3.9352,0.876
4.0018,0.8509
4.1021,0.8021
4.1756,0.7615
4.26,0.7143
4.3345,0.6712
4.4022,0.6342
4.4703,0.5992
4.5327,0.5694
4.5873,0.548
4.6549,0.5255
4.7064,0.5113
4.751,0.501
4.7942,0.492
4.8396,0.4822
4.8875,0.4728
4.9386,0.4628
4.9891,0.4538
5.0233,0.4475
5.0774,0.4394
5.1199,0.4345
5.1663,0.4309
5.2206,0.4285
5.2579,0.4282
5.3014,0.4292
5.3389,0.4304
5.402,0.4323
5.4428,0.4348
5.4904,0.4396
5.5335,0.4441
5.6123,0.4576
5.6799,0.4724
5.7509,0.4875
5.8249,0.5001
5.9132,0.512
5.9656,0.5196
6.0172,0.5273
6.0598,0.5315
6.1122,0.5348
6.1591,0.5384
6.2028,0.5435
6.2557,0.5528
6.2921,0.5614
6.3442,0.5767
6.3741,0.5879
6.4232,0.6094
6.4596,0.6293
6.4949,0.6495
6.5343,0.6714
6.5787,0.6956
6.6132,0.7139
6.6579,0.7371
6.7019,0.7587
6.7458,0.7814
6.7863,0.8035
6.8249,0.8269
6.8666,0.857
6.8954,0.881
6.9317,0.9133
6.9584,0.9407
6.9917,0.9803
7.0288,1.0339
7.0721,1.1109
7.1001,1.1826
7.1214,1.2552
7.1367,1.3283
7.1435,1.3925
7.1445,1.4888
7.1385,1.57
7.13,1.634
7.1154,1.703
7.0936,1.7739
7.0651,1.8541
7.0237,1.9545
6.9844,2.0288
6.9148,2.1334
6.8711,2.1873
6.8212,2.2409
6.7505,2.3055
6.674,2.3627
6.6014,2.4053
6.5288,2.438
6.4384,2.4665
6.3465,2.4844
6.2693,2.4968
6.2082,2.504
6.1332,2.5102
6.0554,2.5187
5.9818,2.53
5.8423,2.5668
5.8094,2.5786
5.751,2.604
5.6838,2.6374
5.6056,2.6748
5.515,2.7138
5.444,2.7399
5.3867,2.7596
5.3031,2.7869
5.2358,2.8046
5.1277,2.8303
5.047,2.8522
4.9742,2.8719
4.9223,2.8855
4.8419,2.9098
4.7877,2.9254
4.7267,2.9425
4.6344,2.9683
4.5755,2.9841
4.4821,3.0151
4.4061,3.047
4.321,3.0914
4.241,3.1443
4.1805,3.1962
4.1387,3.2388
4.0648,3.3222
4.0116,3.3941
3.9591,3.4828
3.9336,3.5403
3.9079,3.6092
3.8901,3.6666
3.8738,3.724
3.8613,3.7641
3.8454,3.8082
3.8305,3.849
3.8142,3.8899
3.7939,3.9343
3.7727,3.9742
3.7427,4.0219
3.7079,4.0671
3.6793,4.1005
3.6461,4.1358
3.613,4.1678
3.5806,4.1965
3.5415,4.228
3.5046,4.2529
3.4395,4.287
3.3825,4.3093
3.3155,4.3286
3.229,4.3459
3.138,4.3542
3.0617,4.3559
3.0366,4.3551
2.9022,4.3359
2.7925,4.3152
2.6983,4.2999
2.6372,4.292
2.5675,4.2831
2.4877,4.2683
2.3966,4.2509
2.3191,4.2386
2.2634,4.2336
2.2128,4.23
2.1752,4.2288
2.1179,4.2307
2.0818,4.2328
2.0244,4.2357
1.9876,4.2389
1.9333,4.2465
1.8739,4.2602
1.8335,4.2731
1.7951,4.2874
1.749,4.3048
1.7034,4.3215
1.6637,4.3353
1.6199,4.3505
1.575,4.3637
1.5192,4.3769
1.4633,4.3857
1.4168,4.3899
1.3664,4.3904
1.3224,4.3892
1.2782,4.3859
1.2195,4.3775
1.1727,4.3654
1.0919,4.3348
1.0002,4.2823
0.9335,4.2303
0.8248,4.1139
0.769,4.0345
0.6912,3.888
0.6638,3.8227
0.6194,3.6919
0.6025,3.6015
0.5985,3.5328
0.605,3.4554
0.6157,3.3983
0.6406,3.3161
0.6688,3.2419
0.6968,3.1716
0.7242,3.1046
0.7505,3.0342
0.7737,2.9568
0.786,2.9014
0.7994,2.7703
0.8014,2.7066
0.8055,2.605
0.8066,2.5018
0.8063,2.4068
0.8079,2.3189
0.8146,2.2227
0.8271,2.1295
0.8463,2.0493
0.8697,1.9838
0.9004,1.9134
0.9505,1.8164
1.0049,1.7324
1.0599,1.6608
1.1138,1.5934
1.1566,1.5382
1.1945,1.4832
1.2199,1.4428
1.2504,1.3848
1.277,1.3252
1.301,1.2699
1.3293,1.2072
1.3493,1.166
1.3733,1.1168
1.3929,1.0804
1.4168,1.0398
1.4569,0.9841
1.5171,0.9166
1.5769,0.8631
1.6467,0.8182
1.697,0.794
1.7486,0.776
1.7901,0.7657
1.8319,0.7593
1.8905,0.7545
1.944,0.7546
2.015,0.7596
2.0771,0.768
2.1244,0.7744
2.1929,0.7818
2.2887,0.7874
2.3652,0.7864
2.4344,0.7811
2.539,0.7679
2.6026,0.7553
2.6723,0.7397
2.7542,0.7241
2.8392,0.7092
2.9453,0.6897
