Place,team,car_no,lap1_time,lap2_time,lap3_time,lap_total,lap_average,delta
1,RB,99,9.321287870407104,9.553439140319824,9.886919021606445,28.761646032333374,9.587215344111124,
2,Artificial Racer,88,9.871076822280884,9.959578275680542,10.000877141952515,29.83153223991394,9.943844079971313,0.3566287358601894
3,SpeedRacer,77,10.003297567367554,10.120017766952515,10.434553384780884,30.557868719100952,10.185956239700317,0.2421121597290039
4,Flying Iceman,44,11.174025774002075,11.761170625686646,12.075612545013428,35.01080894470215,11.670269648234049,1.4843134085337315
5,GhostRiderz,66,11.482311248779297,11.753989458084106,11.859964847564697,35.0962655544281,11.698755184809366,0.028485536575317383
6,BlueStreak,05,11.77946662902832,12.23304295539856,12.294378995895386,36.306888580322266,12.102296193440756,0.40354100863138953
7,Lightning McQueen,95,12.297295570373535,12.749767303466797,13.162557125091553,38.209619998931885,12.736539999643961,0.6342438062032052
8,T Minus 10,10,12.396146297454834,12.730960845947266,13.170993089675903,38.298100233078,12.766033411026001,0.02949341138203998
9,Baby Step,28,14.56882929801941,14.587353706359863,14.694045305252075,43.85022830963135,14.616742769877115,1.8507093588511143
10,PIMParticle,11,15.20578908920288,15.26387071609497,15.271098613739014,45.740758419036865,15.246919473012289,0.6301767031351737
11,Storm,35,16.388689517974854,17.038735151290894,17.27602982521057,50.70345449447632,16.90115149815877,1.6542320251464826
