Place,race_number,team,car_no,lap_end_state,lap_progress,lap_time,Delta
1,1,Speed Racer,77,lap_complete,100.0,10.477576732635498,
2,1,RB,99,lap_complete,100.0,11.08405089378357,0.6064741611480713
3,1,BlueStreak,05,lap_complete,100.0,11.716367483139038,0.6323165893554688
4,1,GhostRiderz,38,lap_complete,100.0,11.885931491851807,0.16956400871276855
5,1,Artificial Racer,88,lap_complete,100.0,12.076348543167114,0.19041705131530762
6,1,PIM Particle,11,lap_complete,100.0,14.22228193283081,2.1459333896636963
7,1,T-Minus-10,10,lap_complete,100.0,15.097205877304077,0.8749239444732666
8,1,Beserk Baby,22,lap_complete,100.0,15.484838008880615,0.3876321315765381
9,1,RaceCar,18,lap_complete,100.0,15.849022150039673,0.3641841411590576
10,1,Storm,35,lap_complete,100.0,16.538057327270508,0.689035177230835
11,1,Lightning McQueen,24,lap_complete,100.0,19.27836775779724,2.7403104305267334
12,1,BabyStep,28,lap_complete,100.0,26.392178058624268,7.113810300827026
13,1,Marathon,55,lap_complete,100.0,30.380752325057983,3.988574266433716
